Title,Facing,Floor,Bedroom,Bathroom,Location_area,Location_district,Price_in_cr,Land_area_aana,Price_per_aana,Road_access_ft,Built_year_bs,Has_parking,Amenity_count
Bungalow for sale,East,2.0,4,4,Hepali Height,Kathmandu,7.0,5.3,1.3207547169811322,17.0,2076,1,3
House for sale,East,2.5,5,3,Imadol,Lalitpur,2.5,3.0,0.8333333333333334,13.0,2072,1,0
House for sale,North,1.0,2,1,Tikathali,Lalitpur,1.65,3.0,0.5499999999999999,13.0,2074,1,0
House for sale,East,2.5,6,3,Budhanilkantha,Kathmandu,3.45,4.0,0.8625,13.0,2073,1,0
House for sale,North,2.5,6,2,Bafal,Kathmandu,2.35,2.2,1.0681818181818181,12.0,2074,1,0
House for sale,North,3.0,4,5,Kalanki,Kathmandu,3.85,4.2,0.9166666666666666,13.0,2074,0,3
Bungalow for sale,North-West,2.5,5,4,Rudreshwor,Kathmandu,3.35,5.0,0.67,12.5,2073,1,2
House for sale,East,2.5,9,3,Tikathali,Lalitpur,2.15,2.3,0.9347826086956522,13.0,2076,1,0
House for sale,East,2.5,7,4,Dhapasi,Kathmandu,3.9,7.0,0.5571428571428572,12.0,2076,1,1
House for sale,West,3.5,5,3,Imadol,Lalitpur,2.75,3.0,0.9166666666666666,20.0,2073,1,0
House for sale,North,3.0,6,5,Mandikhatar,Kathmandu,2.95,3.1,0.9516129032258065,13.0,2070,1,0
House for sale,South-East,2.0,2,2,Chandragiri,Kathmandu,1.6,4.0,0.4,10.0,2073,1,0
House for sale,North-East,2.5,6,3,Maharajgunj,Kathmandu,7.25,10.0,0.725,13.0,2073,1,0
